Year,Comparison Group,Institution,Total Curr Ops/Restricted Total,Total Current Operations,"Total Cap Purp/Prop, Bldgs, Equip",Total Cap Purp/Endowment/Unrestricted,Total Cap Purp/Loan Funds,Total Cap Purp/Endow/Restricted/Outright,Total Capital Purposes (Outright Gifts Only),Total Deferred/Face Value ,Total Deferred/Present Value ,Grand Total ,Alumni: Total ,Athletics/Curr Ops: Donors (#),Athletics/Curr Ops: Total Amount ($),Athletics/Cap Purp: Donors (#),Athletics/Total: Donors (#),Athletics/Cap Purp: Total Amount ($),Athletics/Total: Total Amount ($),Alumni: Curr Ops/Athletics
FY2007,Baccalaureate (All),Wabash College,"$925,220","$3,855,460","$1,174,360","$1,803,490","$1,750","$1,746,040","$4,725,640","$884,787","$275,000","$8,856,100","$5,509,551",25,"$10,566",0,25,$0,"$10,566","$28,083"
FY2008,Baccalaureate (All),Wabash College,"$2,650,175","$5,789,791","$581,291","$701,567","$3,030","$846,805","$2,132,693","$2,808,436","$1,004,394","$8,926,878","$4,656,487",14,"$116,453",18,32,"$22,372","$138,825","$20,705"
FY2009,Baccalaureate (All),Wabash College,"$10,973,606","$14,098,242","$282,127","$1,186,113","$1,800","$2,826,206","$4,296,246","$509,625","$203,030","$18,597,518","$4,754,132",83,"$109,702",10,93,"$24,962","$134,664","$20,412"
FY2010,Baccalaureate (All),Wabash College,"$1,073,173","$4,084,907","$829,909","$613,452",$50,"$4,663,125","$6,106,536","$938,368","$446,074","$10,637,517","$6,968,592",22,"$59,909",28,50,"$563,800","$623,709","$51,564"
FY2006,Baccalaureate (All),Briar Cliff University,"$55,309","$632,724","$580,236","$119,926",$0,"$281,290","$981,452",,$0,"$1,614,176","$235,847",,,,,,,
FY2007,Baccalaureate (All),Briar Cliff University,"$70,094","$675,692","$1,012,604","$2,825",$0,"$351,818","$1,367,247",,$0,"$2,042,939","$457,233",,,,,,,
FY2008,Baccalaureate (All),Briar Cliff University,"$83,617","$693,970","$1,286,062","$3,775",$0,"$547,642","$1,837,479",,$0,"$2,531,449","$529,822",,,,,,,
FY2009,Baccalaureate (All),Briar Cliff University,"$95,188","$699,353","$1,000,957","$352,770",$0,"$2,550","$1,356,277",,$0,"$2,055,630","$325,009",,,,,,,
FY2010,Baccalaureate (All),Briar Cliff University,"$317,871","$966,805","$990,333","$139,760",$0,"$2,650","$1,132,743",,$0,"$2,099,548","$308,765",,,,,,,
FY2006,Baccalaureate (All),Buena Vista University,"$374,077","$854,480","$762,290","$3,560","$28,286","$4,438,960","$5,233,096",$0,$0,"$6,087,576","$763,406",,,,,,,"$23,066"
FY2007,Baccalaureate (All),Buena Vista University,"$478,122","$994,222","$439,170",$500,"$30,022","$622,859","$1,092,551","$15,000","$7,933","$2,094,706","$793,482",,,,,,,"$18,147"
FY2008,Baccalaureate (All),Buena Vista University,"$710,738","$1,282,113","$646,775","$1,630","$25,462","$643,243","$1,317,110","$23,195","$16,805","$2,616,028","$642,175",,,,,,,"$26,411"
FY2009,Baccalaureate (All),Buena Vista University,"$326,205","$890,055","$197,570","$1,820","$33,281","$440,450","$673,121","$330,000","$318,162","$1,881,338","$602,842",,,,,,,"$27,170"
FY2010,Baccalaureate (All),Buena Vista University,"$336,484","$841,752","$587,743","$1,000","$37,821","$793,500","$1,420,064","$3,063,840","$1,676,380","$3,938,196","$568,560",,,,,,,"$25,267"
FY2006,Baccalaureate (All),Central College,"$1,544,249","$2,416,106","$1,666,146","$672,221",$0,"$355,376","$2,693,743",,"$3,447,441","$8,557,290","$4,638,954",,,,,,,
FY2007,Baccalaureate (All),Central College,"$821,390","$1,802,824","$2,388,117","$304,244",$0,"$4,550,286","$7,242,647",,"$420,000","$9,465,471","$6,120,873",,,,,,,
FY2008,Baccalaureate (All),Central College,"$910,671","$1,888,780","$1,450,025","$322,669",$0,"$3,411,855","$5,184,549",,"$1,932,500","$9,005,829","$5,368,774",,,,,,,
FY2009,Baccalaureate (All),Central College,"$555,408","$2,015,252","$1,843,928","$73,399",$0,"$606,847","$2,524,174",,$0,"$4,539,426","$2,277,264",,,,,,,
FY2010,Baccalaureate (All),Central College,"$742,251","$1,510,498","$2,765,389","$823,439",$0,"$279,617","$3,868,445",,"$337,000","$5,715,943","$2,472,517",,,,,,,
FY2006,Baccalaureate (All),Clarke University,"$688,954","$2,169,337","$141,209","$59,320",$0,"$1,007,351","$1,207,880",$0,$0,"$3,377,217","$1,522,210",,,,,,,$0
FY2007,Baccalaureate (All),Clarke University,"$694,036","$1,930,530","$1,106,103","$93,828",$0,"$792,638","$1,992,569",$0,$0,"$3,923,099","$1,959,444",,,,,,,$0
FY2008,Baccalaureate (All),Clarke University,"$428,719","$1,398,978","$1,116,298","$98,602",$0,"$5,560,192","$6,775,092",$0,$0,"$8,174,070","$6,151,260",,,,,,,$0
FY2009,Baccalaureate (All),Clarke University,"$394,637","$1,372,685","$49,693","$27,760",$0,"$5,439,025","$5,516,478",$0,$0,"$6,889,163","$5,705,660",,,,,,,$475
FY2010,Baccalaureate (All),Clarke University,"$277,260","$1,151,573","$128,487","$10,875",$0,"$191,071","$330,433",$0,$0,"$1,482,006","$575,853",,,,,,,$425
FY2006,Baccalaureate (All),Coe College,"$511,733","$2,397,835","$1,166,770","$6,700",$0,"$20,574,376","$21,747,846","$1,979,804","$220,163","$24,365,844","$21,302,054",,,,,,,$0
FY2007,Baccalaureate (All),Coe College,"$549,848","$2,231,954","$2,926,016","$596,390",$0,"$2,637,995","$6,160,401",,"$37,467","$8,429,822","$4,569,577",,,,,,,
FY2008,Baccalaureate (All),Coe College,"$454,339","$2,235,492","$1,477,179","$84,044",$0,"$5,268,631","$6,829,854",,"$124,894","$9,190,240","$4,370,420",,,,,,,
FY2009,Baccalaureate (All),Coe College,"$433,916","$1,659,570","$1,140,816","$35,654",$0,"$1,556,019","$2,732,489",,"$18,157","$4,410,216","$2,572,248",,,,,,,
FY2010,Baccalaureate (All),Coe College,"$388,769","$1,683,916","$396,597","$383,512",$0,"$984,197","$1,764,306",,"$31,054","$3,479,276","$2,134,792",,,,,,,
FY2006,Baccalaureate (All),Cornell College,"$940,457","$3,240,263","$45,945","$10,500",$0,"$2,215,188","$2,271,633",$0,$0,"$5,511,896","$4,773,101",,,,,,,$0
FY2007,Baccalaureate (All),Cornell College,"$1,163,325","$3,692,295","$482,443","$1,658",$0,"$3,613,365","$4,097,466",$0,$0,"$7,789,761","$5,159,259",,,,,,,$0
FY2008,Baccalaureate (All),Cornell College,"$978,390","$3,060,792","$30,850","$3,325",$0,"$5,552,116","$5,586,291",$0,$0,"$8,647,083","$5,176,354",,"$97,050",,,$0,"$97,050","$66,405"
FY2009,Baccalaureate (All),Cornell College,"$1,042,356","$3,022,151","$311,175","$6,300",$0,"$6,470,579","$6,788,054",$0,$0,"$9,810,205","$5,846,102",,"$122,912",,,,"$122,912","$53,806"
FY2010,Baccalaureate (All),Cornell College,"$1,503,572","$3,482,756","$2,558,578",$0,$0,"$2,056,058","$4,614,636","$60,000","$23,132","$8,120,524","$5,951,141",152,"$95,048",0,152,$0,"$95,048",$0
FY2006,Baccalaureate (All),Dordt College,"$444,163","$2,776,073","$818,619","$74,965",$0,"$471,180","$1,364,764",$0,$0,"$4,140,837","$1,008,897",90,"$162,750",,90,,"$162,750","$67,350"
FY2007,Baccalaureate (All),Dordt College,"$723,531","$2,820,717","$778,337","$93,052",$0,"$649,887","$1,521,276","$141,000","$104,839","$4,446,832","$983,155",141,"$280,551",,141,,"$280,551","$136,253"
FY2008,Baccalaureate (All),Dordt College,"$768,852","$2,845,339","$1,209,753","$173,619",$0,"$509,972","$1,893,344","$65,000","$49,813","$4,788,496","$884,081",125,"$248,029",0,125,$0,"$248,029","$83,700"
FY2009,Baccalaureate (All),Dordt College,"$801,551","$2,783,944","$1,171,979","$617,923",$0,"$553,795","$2,343,697","$10,000","$7,055","$5,134,696","$960,301",47,"$77,790",,47,,"$77,790","$32,750"
FY2010,Baccalaureate (All),Dordt College,"$985,956","$2,753,074","$958,326","$4,149,668",$0,"$334,192","$5,442,186","$106,000","$76,294","$8,271,554","$965,200",21,"$34,167",,21,,"$34,167","$14,650"
FY2008,Baccalaureate (All),Grand View University,"$363,940","$751,468","$2,854,009","$3,017,555",$0,"$188,277","$6,059,841",,"$229,319","$7,040,628","$1,497,962",,,,,,,
FY2009,Baccalaureate (All),Grand View University,"$469,000","$813,712","$2,134,483","$25,003",$0,"$310,741","$2,470,227",,$0,"$3,283,939","$239,591",,,,,,,
FY2010,Baccalaureate (All),Grand View University,"$589,927","$952,039","$295,692","$5,862",$0,"$31,625","$333,179",,$0,"$1,285,218","$323,154",,,,,,,
FY2006,Baccalaureate (All),Grinnell College,"$2,010,457","$4,254,378","$4,075,075",$0,$0,"$767,585","$4,842,660","$77,744","$44,808","$9,141,846","$5,108,024",47,"$26,143",0,47,$0,"$26,143","$5,483"
FY2007,Baccalaureate (All),Grinnell College,"$1,341,124","$3,834,653","$4,703,367",$0,$0,"$1,386,731","$6,090,098","$2,242,464","$591,354","$10,516,105","$7,029,117",49,"$41,574",0,49,$0,"$41,574","$6,565"
FY2008,Baccalaureate (All),Grinnell College,"$2,213,496","$4,902,905","$2,963,033",$0,$0,"$2,366,340","$5,329,373","$1,698,729","$532,414","$10,764,692","$7,020,823",45,"$16,480",0,45,$0,"$16,480","$9,965"
FY2009,Baccalaureate (All),Grinnell College,"$2,158,422","$4,460,033","$1,417,528",$0,$0,"$744,600","$2,162,128","$120,397","$49,441","$6,671,602","$3,078,626",61,"$21,951",0,61,$0,"$21,951","$17,548"
FY2010,Baccalaureate (All),Grinnell College,"$1,368,054","$3,755,738","$10,188,686",$0,$0,"$3,362,062","$13,550,748","$5,032,222","$2,115,187","$19,421,673","$8,433,793",98,"$13,656",0,98,$0,"$13,656","$2,788"
FY2006,Baccalaureate (All),Iowa Wesleyan College,"$632,474","$3,919,803","$426,851",$945,$0,"$469,063","$896,859",$0,$0,"$4,816,662","$3,433,546",0,$0,0,0,$0,$0,"$21,122"
FY2007,Baccalaureate (All),Iowa Wesleyan College,"$399,192","$4,709,277","$1,244,729",$850,$0,"$400,123","$1,645,702",$0,$0,"$6,354,979","$4,603,345",0,$0,0,0,$0,$0,"$27,865"
FY2008,Baccalaureate (All),Iowa Wesleyan College,"$492,939","$4,184,022","$1,003,700",$0,$0,"$457,947","$1,461,647",$0,$0,"$5,645,669","$3,900,412",0,$0,0,0,$0,$0,"$15,356"
FY2009,Baccalaureate (All),Iowa Wesleyan College,"$436,635","$4,474,790","$734,494","$200,514",$0,"$1,187,453","$2,122,461",$0,$0,"$6,597,251","$4,226,092",,,,,,,"$26,204"
FY2010,Baccalaureate (All),Iowa Wesleyan College,"$534,124","$5,349,490","$525,713","$2,075",$0,"$349,122","$876,910",$0,$0,"$6,226,400","$4,887,169",,,,,,,"$22,355"
FY2006,Baccalaureate (All),Loras College,"$1,414,274","$2,633,852","$1,293,459","$454,955",$0,"$561,156","$2,309,570","$200,000","$188,326","$5,131,748","$2,541,429",,,,,,,"$19,337"
FY2007,Baccalaureate (All),Loras College,"$1,947,145","$3,928,107","$1,770,780","$6,122",$0,"$1,209,792","$2,986,694",$0,$0,"$6,914,801","$4,292,105",,,,,,,"$14,886"
FY2008,Baccalaureate (All),Loras College,"$1,773,081","$3,290,635","$1,627,584","$38,710",$0,"$532,546","$2,198,840","$295,000","$168,573","$5,658,048","$3,288,062",,"$88,072",,,$0,"$88,072","$20,206"
FY2009,Baccalaureate (All),Loras College,"$2,070,212","$3,308,173","$1,008,561","$1,125",$0,"$1,008,760","$2,018,446","$169,533","$128,902","$5,455,521","$3,505,500",,"$56,705",,,$0,"$56,705","$17,176"
FY2010,Baccalaureate (All),Loras College,"$2,551,394","$3,708,632","$1,272,899","$2,065",$0,"$411,127","$1,686,091",$0,$0,"$5,394,723","$3,079,190",,"$84,473",,,$0,"$84,473","$24,583"
FY2006,Baccalaureate (All),Luther College,"$1,603,367","$3,288,611","$2,849,279","$203,435",$0,"$4,135,798","$7,188,512","$1,000,329","$388,246","$10,865,369","$5,493,482",170,"$26,446",,170,,"$26,446","$17,381"
FY2007,Baccalaureate (All),Luther College,"$727,512","$2,449,893","$2,874,333","$12,160",$0,"$3,642,397","$6,528,890","$730,778","$334,961","$9,313,744","$5,526,429",129,"$21,686",,129,,"$21,686","$13,570"
FY2008,Baccalaureate (All),Luther College,"$1,242,288","$3,106,618","$4,650,296",$220,$0,"$5,168,560","$9,819,076","$1,581,438","$539,496","$13,465,190","$6,394,759","1,002","$100,410",0,"1,002",$0,"$100,410","$86,936"
FY2009,Baccalaureate (All),Luther College,"$1,061,217","$3,042,766","$1,951,212",$120,$0,"$2,073,556","$4,024,888","$559,024","$238,076","$7,305,730","$4,262,669","1,617","$180,946",0,"1,617",$0,"$180,946","$93,831"
FY2010,Baccalaureate (All),Luther College,"$949,615","$2,619,377","$2,569,798","$2,145",$0,"$2,141,144","$4,713,087","$20,000","$5,691","$7,338,155","$3,880,210","1,319","$166,643",,"1,319",,"$166,643","$88,316"
FY2006,Baccalaureate (All),Northwestern College,"$505,675","$1,601,302","$2,658,427","$13,078",$0,"$1,885,718","$4,557,223","$25,351","$13,078","$6,171,603","$687,233",0,$0,0,0,$0,$0,$0
FY2007,Baccalaureate (All),Northwestern College,"$1,122,640","$2,101,308","$1,117,163",$0,"$1,000","$891,842","$2,010,005","$40,000","$13,800","$4,125,113","$1,032,708",0,$0,0,0,$0,$0,$0
FY2008,Baccalaureate (All),Northwestern College,"$511,976","$1,468,347","$1,033,910",$0,"$1,000","$1,267,698","$2,302,608",$0,$0,"$3,770,955","$917,088",0,$0,0,0,$0,$0,$0
FY2009,Baccalaureate (All),Northwestern College,"$445,284","$1,963,018","$820,194",$0,$0,"$659,852","$1,480,046","$15,325","$6,394","$3,449,458","$767,704",,,,,,,$0
FY2010,Baccalaureate (All),Northwestern College,"$553,375","$1,823,486","$963,655",$0,$0,"$820,574","$1,784,229",$0,$0,"$3,607,715","$801,501",,,,,,,$0
FY2006,Baccalaureate (All),Simpson College,"$289,195","$1,262,118","$685,078","$19,902",$0,"$1,627,696","$2,332,676","$20,000","$9,415","$3,604,209","$1,868,538",,,,,,,"$9,336"
FY2007,Baccalaureate (All),Simpson College,"$1,128,396","$2,170,241","$1,149,936","$7,096",$0,"$473,576","$1,630,608",$0,$0,"$3,800,849","$1,652,690",,,,,,,"$36,045"
FY2008,Baccalaureate (All),Simpson College,"$335,942","$1,371,732","$1,229,053","$2,060",$0,"$808,314","$2,039,427","$50,000","$24,189","$3,435,348","$1,143,659",,,,,,,"$68,515"
FY2009,Baccalaureate (All),Simpson College,"$516,060","$1,463,109","$1,012,862","$2,205",$0,"$377,623","$1,392,690",$0,$0,"$2,855,799","$1,275,607",,,,,,,"$77,900"
FY2010,Baccalaureate (All),Simpson College,"$606,933","$1,554,139","$2,370,923","$2,165",$0,"$2,929,974","$5,303,062",$0,$0,"$6,857,201","$3,234,893",,,,,,,"$32,875"
FY2006,Baccalaureate (All),Wartburg College,"$1,072,501","$2,573,581","$801,690","$619,360",$0,"$721,834","$2,142,884","$2,363,433","$1,008,262","$5,724,727","$2,683,934",722,"$169,680",25,747,"$21,398","$191,078","$61,287"
FY2007,Baccalaureate (All),Wartburg College,"$1,465,496","$2,927,724","$1,193,829","$306,846",$0,"$746,183","$2,246,858","$1,838,188","$702,805","$5,877,387","$2,176,195",870,"$193,472",15,885,"$9,989","$203,461","$86,774"
FY2008,Baccalaureate (All),Wartburg College,"$1,178,861","$2,792,432","$1,252,227","$1,784,337",$0,"$948,698","$3,985,262","$259,727","$144,937","$6,922,631","$2,282,748",718,"$219,579",6,724,"$1,541","$221,120","$78,703"
FY2009,Baccalaureate (All),Wartburg College,"$869,396","$1,988,012","$1,018,921","$1,945,745",$0,"$1,052,661","$4,017,327","$231,317","$137,712","$6,143,051","$1,997,421",598,"$383,642",1,599,$250,"$383,892","$66,669"
FY2010,Baccalaureate (All),Wartburg College,"$1,193,981","$2,285,637","$1,717,673","$112,926",$0,"$430,400","$2,260,999","$860,033","$283,820","$4,830,456","$2,491,790",681,"$199,635",1,682,"$350,000","$549,635","$71,477"
FY2006,Baccalaureate (All),Bethany College,"$238,890","$1,916,102",$0,"$270,167",$0,"$387,265","$657,432",,$0,"$2,573,534","$915,729",,,,,,,
FY2007,Baccalaureate (All),Bethany College,"$321,623","$1,891,825",$0,"$4,118",$0,"$219,151","$223,269",,$0,"$2,115,094","$958,170",,,,,,,
FY2008,Baccalaureate (All),Bethany College,"$1,306,841","$2,425,257",$0,$0,$0,"$633,410","$633,410",,$0,"$3,058,667","$965,003",,,,,,,
FY2009,Baccalaureate (All),Bethany College,"$1,636,033","$2,853,452",$0,$0,$0,"$352,953","$352,953",,$0,"$3,206,405","$1,083,881",,,,,,,
FY2010,Baccalaureate (All),Bethany College,"$184,486","$1,416,845","$332,352",$0,$0,"$122,276","$454,628",,$0,"$1,871,473","$900,632",,,,,,,
FY2006,Baccalaureate (All),Bethel College,"$498,767","$1,688,344","$1,232,941",$0,$0,"$514,279","$1,747,220","$2,000","$1,453","$3,437,017","$2,128,988",0,$0,0,0,$0,$0,"$34,409"
FY2007,Baccalaureate (All),Bethel College,"$490,296","$1,519,599","$475,187",$0,$0,"$382,882","$858,069","$25,000","$12,798","$2,390,466","$1,800,241",0,$0,0,0,$0,$0,"$59,542"
FY2008,Baccalaureate (All),Bethel College,"$544,661","$1,565,894","$580,356","$53,366",$0,"$927,192","$1,560,914","$200,000","$95,463","$3,222,271","$2,524,292",0,$0,0,0,$0,$0,"$56,675"
FY2009,Baccalaureate (All),Bethel College,"$366,784","$1,661,071","$522,751","$5,300",$0,"$148,684","$676,735","$30,000","$16,477","$2,354,283","$1,805,389",,,,,,,"$31,560"
FY2010,Baccalaureate (All),Bethel College,"$731,816","$2,307,594","$709,456","$5,800",$0,"$663,562","$1,378,818","$37,000","$20,890","$3,707,302","$2,543,469",,,,,,,"$211,971"
FY2006,Baccalaureate (All),Kansas Wesleyan University,"$179,523","$488,589","$769,588",$0,$0,"$257,834","$1,027,422",,$0,"$1,516,011","$426,902",,,,,,,
FY2007,Baccalaureate (All),Kansas Wesleyan University,"$206,818","$1,286,294","$1,537,023","$5,000",$0,"$104,792","$1,646,815",,$0,"$2,933,109","$995,127",,,,,,,
FY2008,Baccalaureate (All),Kansas Wesleyan University,"$208,880","$926,289","$334,371","$3,900",$0,"$102,873","$441,144",,$0,"$1,367,433","$725,842",,,,,,,
FY2009,Baccalaureate (All),Kansas Wesleyan University,"$207,912","$465,232","$590,169","$2,614",$0,"$182,678","$775,461",,$0,"$1,240,693","$544,945",,,,,,,
FY2010,Baccalaureate (All),Kansas Wesleyan University,"$262,633","$509,461","$214,222","$6,941",$0,"$181,511","$402,674",,$0,"$912,135","$254,809",,,,,,,
FY2006,Baccalaureate (All),McPherson College,"$332,672","$1,158,716","$775,423","$41,532",$0,"$864,130","$1,681,085","$67,475","$30,261","$2,870,062","$1,610,836",,,,,,,"$14,085"
FY2007,Baccalaureate (All),McPherson College,"$335,170","$1,162,324","$206,442","$9,767",$0,"$903,072","$1,119,281","$34,139","$13,767","$2,295,372","$978,940",,"$43,439",,,"$37,752","$81,191","$12,654"
FY2008,Baccalaureate (All),McPherson College,"$261,200","$829,006","$361,206","$15,404",$0,"$3,586,530","$3,963,140","$60,000","$19,281","$4,811,427","$1,155,545",,,,,,,"$11,210"
FY2009,Baccalaureate (All),McPherson College,"$404,914","$991,494","$819,817","$14,951","$4,000","$255,277","$1,094,045","$31,000","$13,490","$2,099,029","$709,144",,,,,,,"$9,442"
FY2010,Baccalaureate (All),McPherson College,"$512,456","$1,167,813","$532,464","$1,346,965",$0,"$787,373","$2,666,802","$20,000","$12,048","$3,846,663","$694,291",,,,,,,"$5,939"
FY2006,Baccalaureate (All),Ottawa University,"$108,969","$1,192,367","$58,901","$130,817",$0,"$335,374","$525,092","$5,000","$2,231","$1,719,690","$724,335",497,"$16,696",34,531,"$4,800","$21,496","$12,566"
FY2007,Baccalaureate (All),Ottawa University,"$100,338","$1,535,449","$167,416","$31,402",$0,"$266,675","$465,493","$100,648","$61,224","$2,062,166","$872,461",0,$0,29,29,"$166,065","$166,065","$11,946"
FY2008,Baccalaureate (All),Ottawa University,"$123,487","$887,130","$267,239","$161,991",$0,"$219,395","$648,625",$0,$0,"$1,535,755","$473,143",853,"$61,538",109,962,"$226,589","$288,127","$10,665"
FY2009,Baccalaureate (All),Ottawa University,"$139,112","$1,214,276","$22,935","$139,866",$0,"$212,571","$375,372",$0,$0,"$1,589,648","$664,725",813,"$67,122",0,813,$0,"$67,122","$17,534"
FY2010,Baccalaureate (All),Ottawa University,"$69,726","$1,340,094",$100,"$139,099","$2,000","$129,883","$271,082","$15,000","$4,224","$1,615,400","$872,391",419,"$59,676",58,477,"$7,622","$67,298","$15,665"
FY2006,Baccalaureate (All),Sterling College,"$2,874,430","$4,481,551",$545,"$1,266,683",$0,"$82,112","$1,349,340",$0,$0,"$5,830,891","$1,139,644",,,,,,,"$16,173"
FY2007,Baccalaureate (All),Sterling College,"$384,621","$2,728,533",$0,"$800,000",$0,"$750,000","$1,550,000",$0,$0,"$4,278,533","$2,218,191",,,,,,,"$41,818"
FY2006,Baccalaureate (All),Tabor College,"$787,360","$2,782,624","$886,014",$0,$0,"$68,188","$954,202",,$0,"$3,736,826","$1,069,816",,,,,,,
FY2006,Baccalaureate (All),Berea College,"$1,317,294","$5,445,939","$697,626","$9,852,744","$19,118","$5,599,810","$16,169,298","$1,562,494","$738,757","$22,353,994","$3,499,756",,,,,,,$0
FY2007,Baccalaureate (All),Berea College,"$808,776","$4,925,862","$1,481,614","$9,338,486","$4,225","$9,705,391","$20,529,716","$2,094,105","$1,040,476","$26,496,054","$5,055,348",,,,,,,$0
FY2008,Baccalaureate (All),Berea College,"$836,195","$5,210,297","$1,027,104","$15,573,681","$51,507","$3,143,233","$19,795,525","$3,101,812","$1,390,965","$26,396,787","$2,584,391",,,,,,,$0
FY2009,Baccalaureate (All),Berea College,"$1,084,074","$5,625,015","$536,813","$27,735,165","$18,900","$1,186,732","$29,477,610","$1,247,165","$738,400","$35,841,025","$16,037,165",,,,,,,$0
FY2010,Baccalaureate (All),Berea College,"$1,618,303","$6,253,384","$827,946","$13,924,829","$12,150","$1,648,277","$16,413,202","$1,320,374","$402,286","$23,068,872","$4,366,694",,,,,,,$0
FY2006,Baccalaureate (All),Centre College,"$1,585,010","$1,616,669","$2,352,849","$12,199","$2,350","$5,749,650","$8,117,048","$746,127","$328,853","$10,062,570","$6,117,253",0,$0,0,0,$0,$0,$0
FY2007,Baccalaureate (All),Centre College,"$1,588,326","$1,613,547","$2,556,661","$13,424",$750,"$5,300,391","$7,871,226",$0,$0,"$9,484,773","$4,544,821",0,$0,0,0,$0,$0,$0
FY2008,Baccalaureate (All),Centre College,"$1,313,041","$1,341,899","$13,705,905","$10,491","$2,645","$2,406,158","$16,125,199","$1,221,460","$363,260","$17,830,358","$12,882,128",,,,,$0,$0,$0
FY2009,Baccalaureate (All),Centre College,"$897,209","$1,519,997","$7,118,490","$115,333","$1,850","$19,925,680","$27,161,353","$68,575","$38,719","$28,720,069","$7,155,552",,,,,,,$0
FY2010,Baccalaureate (All),Centre College,"$1,119,071","$2,378,102","$3,984,643","$110,372","$2,450","$1,055,652","$5,153,117",$0,$0,"$7,531,219","$4,305,343",,,,,,,$0
FY2006,Baccalaureate (All),Kentucky State University,"$392,621","$426,753",$0,$0,$0,"$8,891","$8,891",$0,$0,"$435,644","$27,203",,,,,,,$0
FY2008,Baccalaureate (All),Kentucky State University,"$742,975","$751,699",$0,$0,$0,"$50,662","$50,662",$0,$0,"$802,361","$161,644",,,,,,,"$11,000"
FY2009,Baccalaureate (All),Kentucky State University,"$686,476","$723,303",$0,$0,$0,"$629,399","$629,399",$0,$0,"$1,352,702","$478,437",,,,,,,"$1,215"
FY2010,Baccalaureate (All),Kentucky State University,"$441,124","$461,620",$0,$0,$150,"$426,680","$426,830",$0,$0,"$888,450","$472,037",,,,,,,$0
FY2006,Baccalaureate (All),Kentucky Wesleyan College,"$494,377","$1,310,908","$379,170",$0,$0,"$1,830,236","$2,209,406","$40,000","$23,647","$3,543,961","$919,761",0,$0,0,0,$0,$0,$0
FY2007,Baccalaureate (All),Kentucky Wesleyan College,"$363,335","$1,170,965","$296,910",$0,$0,"$132,140","$429,050",$0,$0,"$1,600,015","$796,838",0,$0,0,0,$0,$0,$0
FY2008,Baccalaureate (All),Kentucky Wesleyan College,"$330,650","$1,113,476","$427,940",$0,$0,"$186,134","$614,074","$50,000","$25,375","$1,752,925","$1,037,696",0,$0,0,0,$0,$0,$0
FY2009,Baccalaureate (All),Kentucky Wesleyan College,"$276,876","$808,238","$128,619",$0,$0,"$1,684,194","$1,812,813",$0,$0,"$2,621,051","$1,131,553",,,,,,,$0
FY2010,Baccalaureate (All),Kentucky Wesleyan College,"$344,531","$770,732","$9,375",$0,$0,"$56,305","$65,680",$0,$0,"$836,412","$411,690",,,,,,,$0
FY2006,Baccalaureate (All),Transylvania University,"$1,106,176","$2,352,541","$1,677,262","$25,303",$0,"$772,041","$2,474,606","$20,000","$10,815","$4,837,962","$1,114,336",45,"$12,930",,45,,"$12,930","$1,210"
FY2007,Baccalaureate (All),Transylvania University,"$4,198,169","$6,155,640","$3,577,543","$60,100",$0,"$6,262,094","$9,899,737","$30,000","$16,451","$16,071,828","$1,286,488",83,"$27,532",0,83,$0,"$27,532","$2,661"
FY2008,Baccalaureate (All),Transylvania University,"$1,853,244","$3,112,025","$1,617,340","$129,457",$0,"$619,730","$2,366,527","$126,779","$48,620","$5,527,172","$1,163,135",81,"$30,170",0,81,$0,"$30,170","$2,640"
FY2009,Baccalaureate (All),Transylvania University,"$4,423,418","$6,129,858","$284,295","$1,698,838","$25,000","$246,823","$2,254,956","$55,000","$27,114","$8,411,928","$5,174,357",66,"$18,490",1,67,"$50,000","$68,490","$5,115"
FY2010,Baccalaureate (All),Transylvania University,"$911,794","$3,521,977","$629,979","$42,653","$25,000","$2,156,038","$2,853,670","$75,000","$43,653","$6,419,300","$987,206",82,"$27,215",0,82,$0,"$27,215","$5,215"
FY2006,Baccalaureate (All),Centenary College of Louisiana,"$2,374,646","$3,616,014","$460,781",$0,$0,"$1,345,820","$1,806,601",$0,$0,"$5,422,615","$803,586",,,,,,,"$31,245"
FY2007,Baccalaureate (All),Centenary College of Louisiana,"$2,227,884","$3,683,489","$305,455","$1,081",$0,"$1,580,055","$1,886,591",$0,$0,"$5,570,080","$1,428,340",,,,,,,"$17,305"
FY2008,Baccalaureate (All),Centenary College of Louisiana,"$2,169,796","$3,563,795","$1,768,555",$0,$0,"$3,170,218","$4,938,773",$0,$0,"$8,502,568","$1,457,403",,,,,,,"$47,849"
FY2009,Baccalaureate (All),Centenary College of Louisiana,"$1,703,909","$4,660,672","$4,938,165","$5,012,000",$0,"$1,984,623","$11,934,788","$1,291,586","$269,595","$16,865,055","$11,896,085",622,"$341,022",0,622,$0,"$341,022","$51,609"
FY2010,Baccalaureate (All),Centenary College of Louisiana,"$3,738,138","$5,351,040",$710,$0,$0,"$615,547","$616,257",$0,$0,"$5,967,297","$1,056,880",269,"$150,675",0,269,$0,"$150,675","$101,428"
FY2006,Baccalaureate (All),Bates College,"$2,661,529","$5,855,071","$3,659,369","$1,043,893",$0,"$7,079,360","$11,782,622","$5,539,760","$2,709,286","$20,346,979","$8,870,901",511,"$142,536",0,511,$0,"$142,536","$63,860"
