Year,Comparison Group,Institution,Total Curr Ops/Restricted Total,Total Current Operations,"Total Cap Purp/Prop, Bldgs, Equip",Total Cap Purp/Endowment/Unrestricted,Total Cap Purp/Loan Funds,Total Cap Purp/Endow/Restricted/Outright,Total Capital Purposes (Outright Gifts Only),Total Deferred/Face Value ,Total Deferred/Present Value ,Grand Total ,Alumni: Total ,Athletics/Curr Ops: Donors (#),Athletics/Curr Ops: Total Amount ($),Athletics/Cap Purp: Donors (#),Athletics/Total: Donors (#),Athletics/Cap Purp: Total Amount ($),Athletics/Total: Total Amount ($),Alumni: Curr Ops/Athletics
FY2010,Baccalaureate (All),Wilson College,"$743,113","$2,281,413","$306,945","$7,435,451",$0,"$708,977","$8,451,373",,$0,"$10,732,786","$9,360,017",,,,,,,
FY2006,Baccalaureate (All),Coker College,"$251,819","$749,316",$0,$0,$50,"$3,376,583","$3,376,633",$0,$0,"$4,125,949","$278,077",0,$0,0,0,$0,$0,"$6,066"
FY2007,Baccalaureate (All),Coker College,"$369,745","$863,808",$0,$0,$0,"$2,101,702","$2,101,702",$0,$0,"$2,965,510","$417,661",,,,,,,"$7,257"
FY2008,Baccalaureate (All),Coker College,"$639,866","$1,171,490",$0,$0,$0,"$951,422","$951,422",$0,$0,"$2,122,912","$372,816",,,,,,,"$8,859"
FY2009,Baccalaureate (All),Coker College,"$359,192","$787,720",$0,$0,$100,"$632,904","$633,004",$0,$0,"$1,420,724","$236,418",0,$0,0,0,$0,$0,"$4,355"
FY2010,Baccalaureate (All),Coker College,"$331,594","$751,157",$0,$0,$0,"$358,457","$358,457",$0,$0,"$1,109,614","$211,862",411,"$35,757",0,411,$0,"$35,757","$7,705"
FY2006,Baccalaureate (All),Furman University,"$5,200,796","$7,575,258","$6,143,847",$0,$0,"$3,248,041","$9,391,888","$711,313","$289,363","$17,256,509","$9,018,246",,,,,,,"$211,627"
FY2007,Baccalaureate (All),Furman University,"$4,288,914","$6,867,654","$7,636,317","$1,711",$0,"$3,396,981","$11,035,009","$1,313,569","$694,569","$18,597,232","$5,600,162",0,$0,0,0,$0,$0,"$227,111"
FY2008,Baccalaureate (All),Furman University,"$3,751,546","$6,538,681","$12,175,378","$34,509",$0,"$15,872,605","$28,082,492","$544,191","$331,720","$34,952,893","$7,182,458",0,$0,0,0,$0,$0,"$170,970"
FY2009,Baccalaureate (All),Furman University,"$5,426,650","$9,271,554","$4,725,022","$2,038",$0,"$5,531,007","$10,258,067","$340,225","$215,816","$19,745,437","$5,065,590",0,$0,0,0,$0,$0,"$127,975"
