Year,Comparison Group,Institution,Total Curr Ops/Restricted Total,Total Current Operations,"Total Cap Purp/Prop, Bldgs, Equip",Total Cap Purp/Endowment/Unrestricted,Total Cap Purp/Loan Funds,Total Cap Purp/Endow/Restricted/Outright,Total Capital Purposes (Outright Gifts Only),Total Deferred/Face Value ,Total Deferred/Present Value ,Grand Total ,Alumni: Total ,Athletics/Curr Ops: Donors (#),Athletics/Curr Ops: Total Amount ($),Athletics/Cap Purp: Donors (#),Athletics/Total: Donors (#),Athletics/Cap Purp: Total Amount ($),Athletics/Total: Total Amount ($),Alumni: Curr Ops/Athletics
FY2013,Baccalaureate (All),Grinnell College,"$2,459,522","$4,595,381","$854,110",$0,$0,"$1,073,018","$1,927,128",$0,$0,"$6,522,509","$3,707,078",204,"$78,584",0,204,$0,"$78,584","$39,295"
FY2014,Baccalaureate (All),Grinnell College,"$2,485,032","$4,690,541","$733,937","$12,318",$0,"$5,706,759","$6,453,014","$60,732","$34,796","$11,178,351","$5,417,233",112,"$62,118",0,112,$0,"$62,118","$42,873"
FY2015,Baccalaureate (All),Grinnell College,"$4,070,651","$6,281,967","$931,330","$11,798","$20,000","$6,458,187","$7,421,315","$479,968","$147,755","$13,851,037","$9,498,752",165,"$90,438",0,165,$0,"$90,438","$67,197"
FY2016,Baccalaureate (All),Grinnell College,"$2,971,931","$5,252,810","$1,987,481","$19,401","$25,000","$3,497,091","$5,528,973","$120,000","$85,446","$10,867,229","$7,657,472",349,"$217,025",,349,,"$217,025","$138,963"
FY2012,Baccalaureate (All),Iowa Wesleyan College,"$256,875","$1,298,645","$169,841","$1,300",$0,"$992,628","$1,163,769",$0,$0,"$2,462,414","$1,181,002",0,$0,0,0,$0,$0,"$10,817"
FY2013,Baccalaureate (All),Iowa Wesleyan College,"$426,556","$1,127,846","$206,724","$1,300",$0,"$689,651","$897,675",$0,$0,"$2,025,521","$1,321,368",,,,,,,"$11,262"
FY2014,Baccalaureate (All),Iowa Wesleyan College,"$230,176","$812,188","$111,997","$1,300",$0,"$149,842","$263,139",$0,$0,"$1,075,327","$549,748",0,$0,0,0,$0,$0,"$12,203"
FY2011,Baccalaureate (All),Loras College,"$2,535,262","$4,111,300","$646,913","$11,500",$0,"$367,112","$1,025,525","$50,000","$21,844","$5,158,669","$3,069,642",,"$98,888",,,,"$98,888","$33,304"
FY2012,Baccalaureate (All),Loras College,"$2,939,112","$4,664,495","$299,121","$1,250",$0,"$341,885","$642,256","$10,000","$4,211","$5,310,962","$2,668,624",,,,,,,"$31,452"
FY2013,Baccalaureate (All),Loras College,"$3,203,264","$4,610,016","$309,597","$57,068",$0,"$1,298,749","$1,665,414",$0,$0,"$6,275,430","$3,733,255",,,,,,,"$104,002"
FY2014,Baccalaureate (All),Loras College,"$2,779,743","$4,501,511","$608,206","$70,770","$2,624","$3,408,680","$4,090,280",$0,$0,"$8,591,791","$4,591,356",,,,,,,"$68,842"
FY2015,Baccalaureate (All),Loras College,"$3,124,503","$5,140,072","$676,574",$0,$0,"$1,158,210","$1,834,784","$10,000","$4,853","$6,979,709","$3,490,783",,,,,,,"$103,262"
FY2016,Baccalaureate (All),Loras College,"$2,283,322","$4,058,117","$1,186,066","$18,025",$0,"$1,419,156","$2,623,247",$0,$0,"$6,681,364","$3,565,969",,,,,,,"$97,104"
FY2011,Baccalaureate (All),Luther College,"$1,050,576","$3,203,500","$1,673,022","$9,761",$0,"$3,391,310","$5,074,093","$645,300","$367,975","$8,645,568","$4,852,323","1,626","$194,971",0,"1,626",$0,"$194,971","$104,507"
FY2012,Baccalaureate (All),Luther College,"$1,101,169","$3,056,834","$1,879,576","$5,844",$0,"$3,123,773","$5,009,193","$170,000","$47,178","$8,113,205","$5,028,008","1,921","$229,950",0,"1,921",$0,"$229,950","$118,703"
FY2013,Baccalaureate (All),Luther College,"$3,048,137","$5,109,766","$1,501,461","$3,765",$0,"$3,370,280","$4,875,506","$1,223,910","$408,692","$10,393,964","$5,426,831","1,998","$237,240",0,"1,998",$0,"$237,240","$116,406"
FY2014,Baccalaureate (All),Luther College,"$3,344,802","$5,406,787","$1,549,380","$1,570",$0,"$2,907,811","$4,458,761","$84,930","$50,002","$9,915,550","$4,198,522","1,801","$247,664",0,"1,801",$0,"$247,664","$119,418"
FY2015,Baccalaureate (All),Luther College,"$3,849,279","$6,000,021","$876,006","$1,630",$0,"$3,476,046","$4,353,682","$3,712,600","$2,559,339","$12,913,042","$7,570,415","1,746","$283,855",0,"1,746",$0,"$283,855","$142,981"
FY2016,Baccalaureate (All),Luther College,"$4,026,869","$6,344,568","$986,143",$175,$0,"$3,326,133","$4,312,451","$12,000","$5,251","$10,662,270","$5,403,686","1,762","$284,294",0,"1,762",$0,"$284,294","$151,792"
FY2011,Baccalaureate (All),Northwestern College,"$427,191","$1,447,501","$1,794,994",$0,$0,"$703,679","$2,498,673","$600,000","$315,000","$4,261,174","$1,095,015",,,,,,,$0
FY2012,Baccalaureate (All),Northwestern College,"$497,136","$1,583,249","$2,679,048",$0,$0,"$647,106","$3,326,154","$35,000","$21,310","$4,930,713","$1,308,511",0,$0,0,0,$0,$0,$0
FY2013,Baccalaureate (All),Northwestern College,"$658,095","$2,381,776","$1,391,074",$0,$0,"$783,073","$2,174,147","$1,290,000","$538,464","$5,094,387","$1,762,726",,,,,,,$0
FY2014,Baccalaureate (All),Northwestern College,"$598,353","$1,796,651","$2,552,765",$0,$0,"$590,244","$3,143,009",$0,$0,"$4,939,660","$1,811,907",,,,,,,$0
FY2015,Baccalaureate (All),Northwestern College,"$702,330","$1,953,348","$3,096,923",$0,$0,"$761,026","$3,857,949","$126,000","$44,567","$5,855,864","$1,738,227",,,,,,,$0
FY2016,Baccalaureate (All),Northwestern College,"$1,140,893","$2,376,986","$2,807,376",$0,$0,"$517,843","$3,325,219","$47,500","$20,958","$5,723,163","$1,931,757",,,,,,,$0
FY2011,Baccalaureate (All),Simpson College,"$313,872","$1,229,591","$1,998,565","$5,835",$0,"$236,043","$2,240,443",$0,$0,"$3,470,034","$1,215,406",,,,,,,"$41,355"
FY2012,Baccalaureate (All),Simpson College,"$789,263","$1,707,837","$2,560,624","$13,005",$0,"$126,627","$2,700,256",$0,$0,"$4,408,093","$1,081,723",,,,,,,"$62,475"
FY2013,Baccalaureate (All),Simpson College,"$349,901","$1,268,077","$4,135,137",$925,$0,"$662,973","$4,799,035",$0,$0,"$6,067,112","$2,197,700",,,,,,,"$28,639"
FY2014,Baccalaureate (All),Simpson College,"$568,954","$1,534,137","$2,694,408","$1,250,985",$0,"$627,820","$4,573,213",$0,$0,"$6,107,350","$3,399,185",,,,,,,"$22,902"
FY2015,Baccalaureate (All),Simpson College,"$612,948","$1,630,483","$399,265","$1,300",$0,"$490,831","$891,396",$0,$0,"$2,521,879","$1,214,265",,,,,,,"$44,606"
FY2016,Baccalaureate (All),Simpson College,"$1,007,306","$2,078,514","$176,780","$13,205",$0,"$342,500","$532,485",$0,$0,"$2,610,999","$1,111,836",0,$0,0,0,$0,$0,"$36,972"
FY2011,Baccalaureate (All),Wartburg College,"$1,191,499","$2,494,562","$825,469","$74,035",$0,"$1,924,878","$2,824,382","$37,200","$15,440","$5,334,384","$2,883,648",755,"$214,550",0,755,$0,"$214,550","$76,719"
FY2012,Baccalaureate (All),Wartburg College,"$1,456,622","$2,703,712","$998,841","$176,475",$0,"$1,554,631","$2,729,947","$1,306,004","$607,228","$6,040,887","$2,429,884",774,"$304,355",1,775,$20,"$304,375","$78,155"
FY2013,Baccalaureate (All),Wartburg College,"$1,794,882","$3,128,567","$1,419,170","$272,046",$0,"$2,137,662","$3,828,878","$145,349","$72,123","$7,029,568","$3,288,140",915,"$321,937",1,916,"$3,650","$325,587","$84,435"
FY2014,Baccalaureate (All),Wartburg College,"$1,697,291","$3,121,073","$982,343","$5,000",$0,"$2,454,701","$3,442,044","$159,000","$71,583","$6,634,700","$3,334,329","1,207","$238,038",1,"1,208",$200,"$238,238","$84,663"
FY2015,Baccalaureate (All),Wartburg College,"$1,170,061","$3,633,536","$2,021,958","$10,597",$0,"$7,111,968","$9,144,523","$2,258,429","$1,169,168","$13,947,227","$8,185,588",932,"$196,907",1,933,$100,"$197,007","$81,416"
FY2016,Baccalaureate (All),Wartburg College,"$1,357,292","$2,681,023","$3,486,987","$166,858",$0,"$2,022,766","$5,676,611","$302,328","$255,772","$8,613,406","$3,984,078","1,109","$278,928",2,"1,111",$375,"$279,303","$86,101"
FY2011,Baccalaureate (All),Bethany College,"$621,110","$1,324,466","$1,220,636",$0,$0,"$577,414","$1,798,050",,$0,"$3,122,516","$1,024,955",,,,,,,
FY2012,Baccalaureate (All),Bethany College,"$276,236","$1,180,263","$282,648",$0,$0,"$554,195","$836,843",,$0,"$2,017,106","$585,979",,,,,,,
FY2013,Baccalaureate (All),Bethany College,"$252,700","$950,170","$539,727","$67,041",$0,$0,"$606,768",,$0,"$1,556,938","$723,285",,,,,,,
FY2014,Baccalaureate (All),Bethany College,"$246,702","$1,153,917","$676,730",$0,$0,"$1,043,496","$1,720,226",,$0,"$2,874,143","$1,129,102",,,,,,,
FY2015,Baccalaureate (All),Bethany College,"$24,295","$1,472,547","$388,671",$100,"$418,918","$186,628","$994,317",,$0,"$2,466,864","$708,666",,,,,,,
FY2011,Baccalaureate (All),Bethel College,"$686,418","$1,846,727","$1,907,389","$5,000",$0,"$262,085","$2,174,474","$140,000","$87,314","$4,108,515","$2,635,641",0,$0,0,0,$0,$0,"$161,993"
FY2012,Baccalaureate (All),Bethel College,"$1,177,804","$2,451,823","$1,847,375","$2,000",$0,"$709,319","$2,558,694","$10,000","$8,384","$5,018,901","$3,808,911",0,$0,0,0,$0,$0,"$22,269"
FY2013,Baccalaureate (All),Bethel College,"$904,443","$2,173,895","$1,703,071","$2,000",$0,"$1,225,593","$2,930,664","$50,000","$36,083","$5,140,642","$4,475,461",,,,,,,"$36,768"
FY2014,Baccalaureate (All),Bethel College,"$863,492","$2,234,399","$501,054",$0,$0,"$709,239","$1,210,293",,"$5,412","$3,450,104","$2,799,071",,,,,,,
FY2015,Baccalaureate (All),Bethel College,"$962,506","$2,360,675","$121,813",$0,$0,"$1,082,422","$1,204,235",,$0,"$3,564,910","$2,711,318",,,,,,,
FY2016,Baccalaureate (All),Bethel College,"$735,458","$2,083,934","$64,562",$0,$0,"$1,325,341","$1,389,903",,$0,"$3,473,837","$2,330,536",,,,,,,
FY2013,Baccalaureate (All),Ottawa University,"$204,964","$2,472,564","$956,405","$134,873",$0,"$127,214","$1,218,492","$115,000","$75,654","$3,766,710","$1,276,712",753,"$66,550",1,754,"$3,000","$69,550","$23,983"
FY2014,Baccalaureate (All),Ottawa University,"$238,785","$4,782,101","$76,488","$77,154",$0,"$137,714","$291,356",$0,$0,"$5,073,457","$1,914,824",634,"$88,308",12,646,"$6,988","$95,296","$29,065"
FY2011,Baccalaureate (All),Berea College,"$921,009","$5,437,261","$2,198,407","$10,071,365","$2,600","$3,001,109","$15,273,481","$996,064","$425,221","$21,135,963","$3,725,427",,,,,,,$0
FY2012,Baccalaureate (All),Berea College,"$1,723,959","$6,232,335","$1,437,309","$6,312,577","$2,100","$934,679","$8,686,665","$1,144,548","$485,701","$15,404,701","$2,223,293",,,,,,,$0
FY2013,Baccalaureate (All),Berea College,"$4,350,421","$9,022,940","$6,594,753","$4,618,619",$400,"$496,840","$11,710,612","$1,163,879","$524,448","$21,258,000","$2,774,138",,,,,,,$0
FY2014,Baccalaureate (All),Berea College,"$5,794,019","$10,552,267","$13,668,703","$7,414,489",$225,"$614,517","$21,697,934","$565,096","$264,111","$32,514,312","$3,119,895",,,,,,,$0
FY2015,Baccalaureate (All),Berea College,"$5,773,500","$10,979,196","$13,724,262","$8,789,264",$200,"$747,110","$23,260,836","$992,961","$462,065","$34,702,097","$3,552,108",,,,,,,$0
FY2016,Baccalaureate (All),Berea College,"$9,540,625","$14,813,384","$32,289,298","$11,056,627",$300,"$407,183","$43,753,408","$1,212,529","$582,887","$59,149,679","$4,241,962",,,,,,,$0
FY2011,Baccalaureate (All),Centre College,"$6,198,637","$6,937,383","$3,610,703","$9,751","$2,385","$2,588,201","$6,211,040",$0,$0,"$13,148,423","$4,173,997",,,,,,,$0
FY2012,Baccalaureate (All),Centre College,"$2,066,145","$2,847,758","$12,024,084","$9,000","$1,810","$2,242,532","$14,277,426","$1,044,500","$67,605","$17,192,789","$6,087,880",,,,,,,$0
FY2013,Baccalaureate (All),Centre College,"$3,599,775","$4,441,261","$10,356,626","$12,846","$1,810","$2,088,560","$12,459,842",$0,$0,"$16,901,103","$4,805,862",,,,,,,$0
FY2014,Baccalaureate (All),Centre College,"$4,322,561","$5,276,952","$5,353,011","$35,001","$1,810","$1,166,883","$6,556,705","$170,000","$58,126","$11,891,783","$3,277,420",,,,,,,$0
FY2015,Baccalaureate (All),Centre College,"$3,242,035","$4,270,087","$2,460,270","$36,800","$1,560","$4,120,861","$6,619,491",$0,$0,"$10,889,578","$7,484,202",0,$0,0,0,$0,$0,$0
FY2016,Baccalaureate (All),Centre College,"$3,101,253","$3,987,392","$1,480,229","$12,242","$7,681","$3,674,981","$5,175,133","$75,000","$41,264","$9,203,789","$5,475,650",,,,,,,$0
FY2011,Baccalaureate (All),Kentucky Wesleyan College,"$332,338","$1,602,307","$31,960",$0,$0,"$140,988","$172,948",$0,$0,"$1,775,255","$1,257,024",,,,,,,$0
FY2012,Baccalaureate (All),Kentucky Wesleyan College,"$714,751","$2,684,762","$90,911",$0,$0,"$132,349","$223,260",$0,$0,"$2,908,022","$1,794,848",,,,,,,$0
FY2012,Baccalaureate (All),Transylvania University,"$1,334,669","$3,019,477","$151,484","$57,105",$0,"$686,597","$895,186","$40,000","$20,000","$3,934,663","$829,641",144,"$52,557",0,144,$0,"$52,557","$23,664"
FY2013,Baccalaureate (All),Transylvania University,"$483,374","$1,877,916","$301,067","$15,220",$0,"$3,336,598","$3,652,885",$0,$0,"$5,530,801","$989,897",139,"$56,435",0,139,$0,"$56,435","$31,504"
FY2014,Baccalaureate (All),Transylvania University,"$918,765","$3,771,612","$324,000","$39,922",$0,"$3,139,665","$3,503,587",$0,$0,"$7,275,199","$1,435,145",129,"$39,057",0,129,$0,"$39,057","$29,324"
FY2015,Baccalaureate (All),Transylvania University,"$999,301","$2,624,476","$1,309,925","$100,746",$0,"$1,097,386","$2,508,057","$85,000","$53,388","$5,185,921","$2,081,595",175,"$59,088",0,175,$0,"$59,088","$16,945"
FY2016,Baccalaureate (All),Transylvania University,"$767,183","$2,417,432","$1,180,299","$20,514",$0,"$1,152,330","$2,353,143","$20,000","$12,078","$4,782,653","$1,700,138",161,"$69,485",0,161,$0,"$69,485","$21,835"
FY2011,Baccalaureate (All),Centenary College of Louisiana,"$1,962,358","$3,243,931",$250,$0,$0,"$2,535,043","$2,535,293",$0,$0,"$5,779,224","$1,853,318",,,,,,,"$149,997"
FY2016,Baccalaureate (All),Dillard University,"$4,546,614","$5,584,120",$0,"$6,995,273",$0,$0,"$6,995,273",,$0,"$12,579,393","$1,747,459",,,,,,,
FY2011,Baccalaureate (All),Bates College,"$2,385,862","$6,806,826","$1,473,136","$215,758",$0,"$3,886,774","$5,575,668","$321,500","$219,302","$12,601,796","$4,750,772",704,"$272,822",0,704,$0,"$272,822","$114,402"
FY2012,Baccalaureate (All),Bates College,"$2,210,210","$7,148,948","$841,276","$605,920",$0,"$2,990,213","$4,437,409","$682,879","$317,400","$11,903,757","$4,597,685",873,"$283,166",0,873,$0,"$283,166","$121,547"
FY2013,Baccalaureate (All),Bates College,"$3,557,070","$7,982,233","$1,276,076","$319,789",$0,"$1,539,537","$3,135,402","$931,433","$490,721","$11,608,356","$5,459,672","1,103","$374,162",0,"1,103",$0,"$374,162","$207,530"
FY2014,Baccalaureate (All),Bates College,"$2,518,067","$7,042,135","$370,950","$50,999",$0,"$4,896,415","$5,318,364","$3,663,712","$3,576,277","$15,936,776","$10,686,567","1,117","$441,523",0,"1,117",$0,"$441,523","$198,466"
FY2015,Baccalaureate (All),Bates College,"$9,605,018","$14,984,866","$2,061,437","$35,248",$0,"$3,691,665","$5,788,350","$821,328","$753,899","$21,527,115","$12,404,043","1,265","$533,659",0,"1,265",$0,"$533,659","$250,199"
FY2016,Baccalaureate (All),Bates College,"$4,510,279","$11,874,676","$1,301,895","$32,613",$0,"$13,005,459","$14,339,967","$1,880,999","$1,104,411","$27,319,054","$11,730,414","1,563","$560,371",0,"1,563",$0,"$560,371","$264,523"
FY2011,Baccalaureate (All),Bowdoin College,"$8,164,966","$18,577,648","$3,995,454","$3,150",$0,"$10,984,400","$14,983,004","$2,375,337","$792,921","$34,353,573","$16,866,810","1,053","$363,081",74,"1,127","$981,200","$1,344,281","$185,958"
FY2012,Baccalaureate (All),Bowdoin College,"$8,495,431","$18,550,976","$2,192,661","$20,750",$0,"$7,121,216","$9,334,627","$2,295,433","$1,314,557","$29,200,160","$18,341,042","1,142","$428,925",57,"1,199","$407,015","$835,940","$257,913"
FY2013,Baccalaureate (All),Bowdoin College,"$9,057,027","$18,827,687","$1,631,389","$50,050",$0,"$24,418,852","$26,100,291","$1,227,894","$486,607","$45,414,585","$18,286,320",942,"$313,685",26,968,"$562,327","$876,012","$233,762"
FY2014,Baccalaureate (All),Bowdoin College,"$9,293,348","$17,896,829","$3,764,553","$121,947",$0,"$15,172,792","$19,059,292","$4,188,631","$3,019,193","$39,975,314","$27,610,467",976,"$385,187",152,"1,128","$572,767","$957,954","$239,834"
FY2015,Baccalaureate (All),Bowdoin College,"$13,138,541","$21,870,073","$2,485,792","$235,824",$0,"$24,292,151","$27,013,767","$3,845,393","$497,442","$49,381,282","$32,907,820","1,055","$507,944",35,"1,090","$186,020","$693,964","$263,100"
FY2016,Baccalaureate (All),Bowdoin College,"$9,769,722","$18,518,386","$2,012,230","$314,431",$0,"$14,175,756","$16,502,417","$1,030,096","$674,959","$35,695,762","$16,518,667","1,309","$699,815",88,"1,397","$908,261","$1,608,076","$398,376"
FY2011,Baccalaureate (All),Colby College,"$3,261,472","$7,458,418","$7,169,096","$370,878",$0,"$13,216,320","$20,756,294","$667,249","$257,187","$28,471,899","$8,760,771","1,222","$678,577",5,"1,227","$168,500","$847,077","$383,472"
FY2012,Baccalaureate (All),Colby College,"$2,921,126","$7,550,967","$6,747,522","$423,603",$0,"$5,165,797","$12,336,922","$831,778","$411,226","$20,299,115","$7,611,671",714,"$508,570",4,718,"$262,500","$771,070","$163,605"
FY2013,Baccalaureate (All),Colby College,"$1,937,918","$7,278,059","$5,431,353","$1,108,838",$0,"$7,449,115","$13,989,306","$849,010","$333,381","$21,600,746","$8,783,452",780,"$381,385",6,786,"$427,387","$808,772","$156,807"
FY2014,Baccalaureate (All),Colby College,"$2,117,329","$7,334,292","$110,885,244","$708,174",$0,"$10,354,734","$121,948,152","$830,628","$350,507","$129,632,951","$116,678,557",,,,,,,"$208,918"
FY2015,Baccalaureate (All),Colby College,"$2,009,796","$7,183,247","$4,815,024","$183,612",$0,"$8,742,642","$13,741,278","$561,936","$238,483","$21,163,008","$8,060,216",,,,,,,"$175,897"
FY2016,Baccalaureate (All),Colby College,"$3,141,834","$8,207,630","$7,423,717","$410,064",$0,"$14,833,035","$22,666,816","$619,329","$231,182","$31,105,628","$10,027,205",,,,,,,"$201,331"
FY2011,Baccalaureate (All),University of Maine at Farmington,"$86,236","$142,417",$0,$0,$0,"$199,159","$199,159","$240,000","$237,000","$578,576","$195,394",244,"$7,596",0,244,$0,"$7,596","$5,042"
FY2012,Baccalaureate (All),University of Maine at Farmington,"$101,305","$115,506",$333,$0,$0,"$194,299","$194,632",$0,$0,"$310,138","$46,126",139,"$4,260",0,139,$0,"$4,260","$2,560"
FY2013,Baccalaureate (All),University of Maine at Farmington,"$106,935","$196,480",$0,$0,$0,"$107,552","$107,552",$0,$0,"$304,032","$50,178",159,"$5,165",,159,,"$5,165","$3,080"
FY2014,Baccalaureate (All),University of Maine at Farmington,"$139,095","$223,697",$0,$0,$0,"$101,011","$101,011",$0,$0,"$324,708","$70,277",168,"$18,965",0,168,$0,"$18,965","$12,208"
FY2015,Baccalaureate (All),University of Maine at Farmington,"$217,371","$264,005",$0,$0,$0,"$56,932","$56,932",$0,$0,"$320,937","$34,865",573,"$32,869",0,573,$0,"$32,869","$16,983"
FY2016,Baccalaureate (All),University of Maine at Farmington,"$115,974","$188,502",$0,$0,$0,"$192,519","$192,519",$0,$0,"$381,021","$56,084",120,"$17,857",0,120,$0,"$17,857","$9,446"
FY2011,Baccalaureate (All),University of Maine at Fort Kent,"$31,837","$65,833",$0,$0,$0,"$139,387","$139,387",$0,$0,"$205,220","$27,017",14,$530,0,14,$0,$530,$243
FY2013,Baccalaureate (All),Maine Maritime Academy,"$333,165","$1,144,520","$1,078,904",$0,$0,"$434,922","$1,513,826",,$0,"$2,658,346","$433,533",,,,,,,
FY2014,Baccalaureate (All),Maine Maritime Academy,"$609,321","$985,283","$536,603",$0,$0,"$216,527","$753,130",,$0,"$1,738,413","$475,576",,,,,,,
FY2011,Baccalaureate (All),Goucher College,"$869,135","$4,572,623","$1,140,450","$20,583",$0,"$2,016,286","$3,177,319","$40,000","$16,768","$7,766,710","$4,507,038",,,,,,,"$21,392"
FY2012,Baccalaureate (All),Goucher College,"$1,312,500","$4,152,960","$3,618,702","$20,262",$0,"$3,081,152","$6,720,116","$60,042","$23,063","$10,896,139","$3,706,737",,,,,,,"$24,421"
FY2013,Baccalaureate (All),Goucher College,"$1,062,629","$2,536,595","$4,443,507","$2,121",$0,"$4,875,346","$9,320,974","$416,835","$48,854","$11,906,423","$8,361,044",,,,,,,"$28,853"
FY2014,Baccalaureate (All),Goucher College,"$1,269,393","$3,053,799","$1,751,229","$1,950",$0,"$3,127,666","$4,880,845","$324,060","$162,025","$8,096,669","$4,412,195",0,$0,0,0,$0,$0,"$32,818"
FY2015,Baccalaureate (All),Goucher College,"$1,368,915","$6,560,960","$152,516","$11,525",$0,"$1,834,982","$1,999,023","$135,075","$108,060","$8,668,043","$2,634,974",0,$0,0,0,$0,$0,"$35,864"
FY2016,Baccalaureate (All),Goucher College,"$1,995,038","$3,623,053","$2,225,710","$11,991",$0,"$1,959,066","$4,196,767","$10,000","$4,014","$7,823,834","$2,113,985",0,$0,0,0,$0,$0,"$33,856"
FY2011,Baccalaureate (All),St John's College,"$1,148,055","$3,961,649","$923,287",$0,$0,"$4,371,083","$5,294,370",,$0,"$9,256,019","$3,726,774",,,,,,,
FY2011,Baccalaureate (All),St. Mary's College of Maryland,"$1,260,068","$1,497,998","$36,142","$1,440",$0,"$269,085","$306,667","$45,000","$21,749","$1,826,414","$309,176",,,,,,,"$15,853"
FY2012,Baccalaureate (All),St. Mary's College of Maryland,"$687,731","$890,551","$131,941",$520,$0,"$2,430,736","$2,563,197","$45,000","$19,748","$3,473,496","$1,327,962",0,$0,0,0,$0,$0,"$10,063"
FY2013,Baccalaureate (All),St. Mary's College of Maryland,"$886,319","$1,120,125","$357,292",$0,$0,"$884,973","$1,242,265","$95,453","$54,797","$2,417,187","$339,260",0,$0,0,0,$0,$0,"$29,100"
FY2014,Baccalaureate (All),St. Mary's College of Maryland,"$923,283","$1,135,339","$599,704",$150,$0,"$1,245,507","$1,845,361","$124,926","$35,259","$3,015,959","$309,197",0,$0,0,0,$0,$0,"$18,023"
FY2011,Baccalaureate (All),Washington College,"$1,747,580","$3,053,092","$628,657",$0,$0,"$11,541,693","$12,170,350","$90,000","$41,423","$15,264,865","$1,016,076",0,$0,0,0,$0,$0,"$5,770"
FY2012,Baccalaureate (All),Washington College,"$1,710,692","$3,221,888","$1,862,392",$0,$0,"$3,679,088","$5,541,480","$15,000","$5,595","$8,768,963","$1,222,028",,,,,,,"$5,790"
FY2013,Baccalaureate (All),Washington College,"$2,015,900","$3,432,006","$734,998",$0,$0,"$3,255,935","$3,990,933","$115,000","$37,165","$7,460,104","$1,050,199",,,,,,,"$10,125"
FY2014,Baccalaureate (All),Washington College,"$3,586,767","$4,911,115","$295,716","$5,810",$0,"$3,862,532","$4,164,058","$35,866","$17,216","$9,092,389","$1,067,129",,,,,,,"$66,104"
FY2015,Baccalaureate (All),Washington College,"$9,287,170","$10,761,875","$997,560",$105,$0,"$7,426,424","$8,424,089","$559,571","$220,237","$19,406,201","$8,370,484",,,,,,,"$51,195"
FY2016,Baccalaureate (All),Washington College,"$4,528,077","$6,019,873","$169,074",$50,$0,"$5,976,159","$6,145,283","$20,000","$13,569","$12,178,725","$2,918,771",,,,,,,"$55,030"
FY2011,Baccalaureate (All),McDaniel College,"$1,039,495","$2,097,616","$2,349,765",$0,$0,"$1,602,890","$3,952,655","$937,666","$752,898","$6,803,169","$3,532,729",,"$92,364",,,"$6,490","$98,854","$45,549"
FY2012,Baccalaureate (All),McDaniel College,"$1,275,131","$2,237,286","$1,980,442",$0,$0,"$2,015,458","$3,995,900","$295,377","$217,761","$6,450,947","$3,726,385","1,066","$134,950",12,"1,078","$10,202","$145,152","$46,404"
FY2013,Baccalaureate (All),McDaniel College,"$1,999,435","$3,198,128","$1,816,749",$0,$0,"$3,150,105","$4,966,854","$119,941","$95,570","$8,260,552","$4,210,677",,"$93,828",,,"$1,362","$95,190","$46,372"
FY2014,Baccalaureate (All),McDaniel College,"$1,351,592","$2,723,872","$1,240,361",$0,$0,"$2,722,518","$3,962,879","$535,407","$295,234","$6,981,985","$4,530,500",779,"$95,316",4,783,"$1,410","$96,726","$46,988"
FY2015,Baccalaureate (All),McDaniel College,"$497,822","$2,142,479","$2,483,729",$0,$0,"$2,492,100","$4,975,829","$460,000","$222,993","$7,341,301","$4,111,515",678,"$87,624",0,678,$0,"$87,624","$51,081"
FY2016,Baccalaureate (All),McDaniel College,"$1,000,862","$2,333,200","$1,028,471",$750,$0,"$2,936,001","$3,965,222",$0,$0,"$6,298,422","$2,447,670",907,"$131,518",,907,,"$131,518","$65,655"
FY2011,Baccalaureate (All),Amherst College,"$5,007,607","$14,908,427","$3,724,431","$29,057,506",$0,"$8,391,957","$41,173,894","$7,916,028","$3,183,636","$59,265,957","$40,003,332",592,"$306,042",0,592,$0,"$306,042","$297,666"
FY2012,Baccalaureate (All),Amherst College,"$7,398,947","$17,590,985","$6,752,286","$35,673,434",$0,"$3,643,435","$46,069,155","$6,097,301","$2,732,057","$66,392,197","$42,496,200",878,"$466,346",0,878,$0,"$466,346","$479,925"
FY2013,Baccalaureate (All),Amherst College,"$6,217,487","$16,381,315","$7,802,283","$28,025,245",$0,"$10,894,896","$46,722,424","$3,288,605","$1,402,226","$64,505,965","$45,490,699",568,"$342,126",0,568,$0,"$342,126","$291,997"
FY2014,Baccalaureate (All),Amherst College,"$6,811,582","$17,210,486","$5,647,820","$27,905,934",$0,"$6,323,457","$39,877,211","$1,734,551","$587,358","$57,675,055","$38,058,884",610,"$526,495",0,610,$0,"$526,495","$515,572"
FY2015,Baccalaureate (All),Amherst College,"$5,230,970","$16,218,060","$12,463,289","$2,875,483",$0,"$7,331,482","$22,670,254","$1,219,588","$314,663","$39,202,977","$18,058,126",496,"$539,031",0,496,$0,"$539,031","$432,167"
FY2016,Baccalaureate (All),Amherst College,"$5,935,500","$17,579,496","$5,279,355","$5,120,916",$0,"$4,030,183","$14,430,454","$145,449","$88,623","$32,098,573","$18,191,385",599,"$521,360",0,599,$0,"$521,360","$429,865"
FY2011,Baccalaureate (All),Assumption College,"$379,812","$1,191,333","$644,395","$18,961",$0,"$444,604","$1,107,960",$0,$0,"$2,299,293","$1,019,326",230,"$66,115",0,230,$0,"$66,115","$61,466"
FY2013,Baccalaureate (All),Assumption College,"$477,332","$1,175,830","$534,315",$0,$0,"$1,092,305","$1,626,620",,"$23,004","$2,825,454","$1,053,689",,,,,,,
