UnitID,ipeds_name,sports_ref_name
100663,University of Alabama at Birmingham,Alabama-Birmingham
NA,University of California-Davis,UC-Davis
NA,University of California-Irvine,UC-Irvine
NA,University of California-Riverside,UC-Riverside
132903,University of Central Florida,Central Florida
110662,University of California-Los Angeles,UCLA
129020,University of Connecticut,Connecticut
NA,University of California-Santa Barbara,UC-Santa Barbara
NA,University of Illinois at Chicago,Illinois-Chicago
NA,University of Louisiana at Monroe,Louisiana-Monroe
NA,University of Massachusetts-Amherst,Massachusetts
NA,University of Massachusetts-Lowell,Massachusetts-Lowell
NA,University of Maryland-Baltimore County,Maryland-Baltimore County
NA,University of Missouri-Kansas City,Missouri-Kansas City
199120,University of North Carolina at Chapel Hill,North Carolina
NA,University of North Carolina at Asheville,North Carolina-Asheville
NA,University of North Carolina Wilmington,North Carolina-Wilmington
NA,University of North Carolina at Greensboro,North Carolina-Greensboro
NA,University of New Hampshire-Main Campus,New Hampshire
182281,University of Nevada-Las Vegas,Nevada-Las Vegas
NA,University of Rhode Island,Rhode Island
123961,University of Southern California,Southern California
NA,University of South Carolina-Upstate,South Carolina Upstate
NA,University of South Florida-Main Campus,South Florida
NA,The University of Texas at Arlington,Texas-Arlington
NA,The University of Tennessee-Martin,Tennessee-Martin
NA,Utah Valley University,Texas-Rio Grande Valley
230764,University of Utah,Utah
230728,Utah State University,Utah State
NA,The University of Texas Rio Grande Valley,Utah Valley
228796,The University of Texas at El Paso,Texas-El Paso
229027,The University of Texas at San Antonio,Texas-San Antonio
234076,University of Virginia-Main Campus,Virginia
NA,Valparaiso University,Valparaiso
221999,Vanderbilt University,Vanderbilt
NA,Virginia Commonwealth University,Virginia Commonwealth
NA,University of Vermont,Vermont
NA,Villanova University,Villanova
233921,Virginia Polytechnic Institute and State University,Virginia Tech
NA,Virginia Military Institute,Virginia Military Institute
NA,Western Carolina University,Western Carolina
NA,Western Illinois University,Western Illinois
157951,Western Kentucky University,Western Kentucky
172699,Western Michigan University,Western Michigan
NA,Wagner College,Wagner
199847,Wake Forest University,Wake Forest
236948,University of Washington-Seattle Campus,Washington
236939,Washington State University,Washington State
NA,Weber State University,Weber State
238032,West Virginia University,West Virginia
NA,Wichita State University,Wichita State
NA,College of William and Mary,William & Mary
NA,Winthrop University,Winthrop
240444,University of Wisconsin-Madison,Wisconsin
NA,Wofford College,Wofford
NA,Wright State University-Main Campus,Wright State
240727,University of Wyoming,Wyoming
NA,Xavier University,Xavier
NA,Yale University,Yale
NA,Youngstown State University,Youngstown State
